구분,이탈리아어,한국어 뜻,성별,예문,예문 번역
읽기 어휘,periodico,주기적인,m,Il periodico è fondamentale per il successo.,periodico(은)는 성공을 위해 필수적입니다.
읽기 어휘,conflitto,"갈등, 다툼",m,Il conflitto è fondamentale per il successo.,conflitto(은)는 성공을 위해 필수적입니다.
읽기 어휘,coinvolgere,개입하게하다,-,È necessario coinvolgere questo compito.,이 작업을 개입하게하다는 것이 필요합니다.
읽기 어휘,inviare,"보내다, 부치다",-,È necessario inviare questo compito.,"이 작업을 보내다, 부치다는 것이 필요합니다."
읽기 어휘,regolarmente,정기적으로,-,È necessario regolarmente questo compito.,이 작업을 정기적으로는 것이 필요합니다.
읽기 어휘,finanziario,금융의,m,Il finanziario è fondamentale per il successo.,finanziario(은)는 성공을 위해 필수적입니다.
읽기 어휘,paesi ospitanti,이주국,-,È necessario paesi ospitanti questo compito.,이 작업을 이주국는 것이 필요합니다.
관련 어휘,permesso di soggiorno,체류허가증,m,Il permesso di soggiorno è fondamentale per il successo.,permesso di soggiorno(은)는 성공을 위해 필수적입니다.
관련 어휘,richuedente asilo,망명신청자,m,Il richuedente asilo è fondamentale per il successo.,richuedente asilo(은)는 성공을 위해 필수적입니다.
관련 어휘,clandestini,불법입국자,-,È necessario clandestini questo compito.,이 작업을 불법입국자는 것이 필요합니다.
관련 어휘,rifugiato,난민,m,Il rifugiato è fondamentale per il successo.,rifugiato(은)는 성공을 위해 필수적입니다.
관련 어휘,migrazione circolare,순회이주,-,È necessario migrazione circolare questo compito.,이 작업을 순회이주는 것이 필요합니다.
관련 어휘,beneficiario,수혜자,m,Il beneficiario è fondamentale per il successo.,beneficiario(은)는 성공을 위해 필수적입니다.
관련 어휘,apolide,무국적,-,È necessario apolide questo compito.,이 작업을 무국적는 것이 필요합니다.
관련 어휘,vittima di tratta,인신매매 피해자,f,La vittima di tratta italiana è molto famosa.,이탈리아의 vittima di tratta(은)는 매우 유명합니다.
관련 어휘,cittadinanza,시민권,f,La cittadinanza italiana è molto famosa.,이탈리아의 cittadinanza(은)는 매우 유명합니다.
관련 어휘,coesione sociale,사회적 응집력,-,È necessario coesione sociale questo compito.,이 작업을 사회적 응집력는 것이 필요합니다.
관련 어휘,mediatore culturale,문화조정자,-,È necessario mediatore culturale questo compito.,이 작업을 문화조정자는 것이 필요합니다.
관련 어휘,migrante,이주자,-,È necessario migrante questo compito.,이 작업을 이주자는 것이 필요합니다.
관련 어휘,diaspora,디아스포라,f,La diaspora italiana è molto famosa.,이탈리아의 diaspora(은)는 매우 유명합니다.
관련 어휘,sfollato,피난온,m,Il sfollato è fondamentale per il successo.,sfollato(은)는 성공을 위해 필수적입니다.
관련 어휘,rimpatrio,송환,m,Il rimpatrio è fondamentale per il successo.,rimpatrio(은)는 성공을 위해 필수적입니다.
관련 어휘,accoglienza,환대,f,La accoglienza italiana è molto famosa.,이탈리아의 accoglienza(은)는 매우 유명합니다.
관련 어휘,espulsione,추방,f,La espulsione italiana è molto famosa.,이탈리아의 espulsione(은)는 매우 유명합니다.
관련 어휘,integrazione,통합,f,La integrazione italiana è molto famosa.,이탈리아의 integrazione(은)는 매우 유명합니다.
관련 어휘,ricollocazione,재배치,f,La ricollocazione italiana è molto famosa.,이탈리아의 ricollocazione(은)는 매우 유명합니다.
단어장,occasione,기회,f,La occasione italiana è molto famosa.,이탈리아의 occasione(은)는 매우 유명합니다.
단어장,praticare,실습하다,-,È necessario praticare questo compito.,이 작업을 실습하다는 것이 필요합니다.
단어장,migliorare,나아지게,-,È necessario migliorare questo compito.,이 작업을 나아지게는 것이 필요합니다.
단어장,conoscenza,지식,f,La conoscenza italiana è molto famosa.,이탈리아의 conoscenza(은)는 매우 유명합니다.
단어장,ridere,웃다,-,È necessario ridere questo compito.,이 작업을 웃다는 것이 필요합니다.
단어장,metodo,방법,m,Il metodo è fondamentale per il successo.,metodo(은)는 성공을 위해 필수적입니다.
단어장,efficace,효과적인,-,È necessario efficace questo compito.,이 작업을 효과적인는 것이 필요합니다.
단어장,interattivo,상호작용적,m,Il interattivo è fondamentale per il successo.,interattivo(은)는 성공을 위해 필수적입니다.
단어장,frequentare,교류하다,-,È necessario frequentare questo compito.,이 작업을 교류하다는 것이 필요합니다.
단어장,blusa,블라우스,f,La blusa italiana è molto famosa.,이탈리아의 blusa(은)는 매우 유명합니다.
단어장,blazer,콤비자켓,-,È necessario blazer questo compito.,이 작업을 콤비자켓는 것이 필요합니다.
단어장,pigiama,파자마,f,La pigiama italiana è molto famosa.,이탈리아의 pigiama(은)는 매우 유명합니다.
단어장,borsa,백,f,La borsa italiana è molto famosa.,이탈리아의 borsa(은)는 매우 유명합니다.
단어장,maglione,스웨터,-,È necessario maglione questo compito.,이 작업을 스웨터는 것이 필요합니다.
단어장,giacca,자켓,f,La giacca italiana è molto famosa.,이탈리아의 giacca(은)는 매우 유명합니다.
단어장,"camicia da 
notte",나이트,-,"È necessario camicia da 
notte questo compito.",이 작업을 나이트는 것이 필요합니다.
단어장,borsetta,핸드백,f,La borsetta italiana è molto famosa.,이탈리아의 borsetta(은)는 매우 유명합니다.
단어장,cardigan,카디건,-,È necessario cardigan questo compito.,이 작업을 카디건는 것이 필요합니다.
단어장,giacca sportiva,스포츠,f,La giacca sportiva italiana è molto famosa.,이탈리아의 giacca sportiva(은)는 매우 유명합니다.
단어장,babydoll,여성용,-,È necessario babydoll questo compito.,이 작업을 여성용는 것이 필요합니다.
단어장,portafoglio,지갑,m,Il portafoglio è fondamentale per il successo.,portafoglio(은)는 성공을 위해 필수적입니다.
단어장,top,톱,-,È necessario top questo compito.,이 작업을 톱는 것이 필요합니다.
단어장,cappotto,코트,m,Il cappotto è fondamentale per il successo.,cappotto(은)는 성공을 위해 필수적입니다.
단어장,reggiseno,브라,m,Il reggiseno è fondamentale per il successo.,reggiseno(은)는 성공을 위해 필수적입니다.
단어장,zaino,백팩,m,Il zaino è fondamentale per il successo.,zaino(은)는 성공을 위해 필수적입니다.
단어장,camicia,셔츠,f,La camicia italiana è molto famosa.,이탈리아의 camicia(은)는 매우 유명합니다.
단어장,frac,연미복,-,È necessario frac questo compito.,이 작업을 연미복는 것이 필요합니다.
단어장,corsetto,코르셋,m,Il corsetto è fondamentale per il successo.,corsetto(은)는 성공을 위해 필수적입니다.
단어장,cintura,벨트,f,La cintura italiana è molto famosa.,이탈리아의 cintura(은)는 매우 유명합니다.
단어장,maglietta,티셔츠,f,La maglietta italiana è molto famosa.,이탈리아의 maglietta(은)는 매우 유명합니다.
단어장,gilet,조끼,-,È necessario gilet questo compito.,이 작업을 조끼는 것이 필요합니다.
단어장,mutande,팬티,-,È necessario mutande questo compito.,이 작업을 팬티는 것이 필요합니다.
단어장,collant,팬티스,-,È necessario collant questo compito.,이 작업을 팬티스는 것이 필요합니다.
단어장,abito smoking,턱시도,-,È necessario abito smoking questo compito.,이 작업을 턱시도는 것이 필요합니다.
단어장,perizoma,여성용팬티,f,La perizoma italiana è molto famosa.,이탈리아의 perizoma(은)는 매우 유명합니다.
단어장,bretelle,멜빵,-,È necessario bretelle questo compito.,이 작업을 멜빵는 것이 필요합니다.
단어장,gonna,스커트,f,La gonna italiana è molto famosa.,이탈리아의 gonna(은)는 매우 유명합니다.
단어장,panciotto,양복조끼,m,Il panciotto è fondamentale per il successo.,panciotto(은)는 성공을 위해 필수적입니다.
단어장,boxer,사각팬티,-,È necessario boxer questo compito.,이 작업을 사각팬티는 것이 필요합니다.
단어장,minigonna,미니,f,La minigonna italiana è molto famosa.,이탈리아의 minigonna(은)는 매우 유명합니다.
단어장,polo,폴로티셔츠,m,Il polo è fondamentale per il successo.,polo(은)는 성공을 위해 필수적입니다.
단어장,cravatta,넥타이,f,La cravatta italiana è molto famosa.,이탈리아의 cravatta(은)는 매우 유명합니다.
단어장,jeans,진바지,-,È necessario jeans questo compito.,이 작업을 진바지는 것이 필요합니다.
단어장,giacca di pelle,가죽자켓,-,È necessario giacca di pelle questo compito.,이 작업을 가죽자켓는 것이 필요합니다.
단어장,scarpe,슈즈,-,È necessario scarpe questo compito.,이 작업을 슈즈는 것이 필요합니다.
단어장,cappello,모자,m,Il cappello è fondamentale per il successo.,cappello(은)는 성공을 위해 필수적입니다.
단어장,cini,반바지,-,È necessario cini questo compito.,이 작업을 반바지는 것이 필요합니다.
단어장,impermeabile,방수형,-,È necessario impermeabile questo compito.,이 작업을 방수형는 것이 필요합니다.
단어장,pantofole,슬리퍼,-,È necessario pantofole questo compito.,이 작업을 슬리퍼는 것이 필요합니다.
단어장,guanti,장갑,-,È necessario guanti questo compito.,이 작업을 장갑는 것이 필요합니다.
단어장,pantaloni,바지,-,È necessario pantaloni questo compito.,이 작업을 바지는 것이 필요합니다.
단어장,sandali,샌들,-,È necessario sandali questo compito.,이 작업을 샌들는 것이 필요합니다.
단어장,sciarpa,스카프,f,La sciarpa italiana è molto famosa.,이탈리아의 sciarpa(은)는 매우 유명합니다.
단어장,tailleur,여성양장,-,È necessario tailleur questo compito.,이 작업을 여성양장는 것이 필요합니다.
단어장,"abito da
cerimonia",예복,f,"La abito da
cerimonia italiana è molto famosa.","이탈리아의 abito da
cerimonia(은)는 매우 유명합니다."
단어장,stivali,부츠,-,È necessario stivali questo compito.,이 작업을 부츠는 것이 필요합니다.
단어장,"occhiali da
sole",썬글라스,-,"È necessario occhiali da
sole questo compito.",이 작업을 썬글라스는 것이 필요합니다.
단어장,"abito 
peplo
blazer",드레스,-,"È necessario abito 
peplo
blazer questo compito.",이 작업을 드레스는 것이 필요합니다.
단어장,tuta,추리닝,f,La tuta italiana è molto famosa.,이탈리아의 tuta(은)는 매우 유명합니다.
단어장,loafers,끈,-,È necessario loafers questo compito.,이 작업을 끈는 것이 필요합니다.
단어장,gioielli,주얼리,-,È necessario gioielli questo compito.,이 작업을 주얼리는 것이 필요합니다.
단어장,tubino,튜브형,m,Il tubino è fondamentale per il successo.,tubino(은)는 성공을 위해 필수적입니다.
단어장,giubotto,겨울재킷,m,Il giubotto è fondamentale per il successo.,giubotto(은)는 성공을 위해 필수적입니다.
단어장,sneakers,운동화,-,È necessario sneakers questo compito.,이 작업을 운동화는 것이 필요합니다.
단어장,orologio,시계,m,Il orologio è fondamentale per il successo.,orologio(은)는 성공을 위해 필수적입니다.
단어장,articolo,기사,m,Il articolo è fondamentale per il successo.,articolo(은)는 성공을 위해 필수적입니다.
단어장,emettere,방출하다,-,È necessario emettere questo compito.,이 작업을 방출하다는 것이 필요합니다.
단어장,specie,종,-,È necessario specie questo compito.,이 작업을 종는 것이 필요합니다.
단어장,estinguersi,소멸되다,-,È necessario estinguersi questo compito.,이 작업을 소멸되다는 것이 필요합니다.
단어장,habitat naturali,자연서식지,-,È necessario habitat naturali questo compito.,이 작업을 자연서식지는 것이 필요합니다.
단어장,rallentare,늦추다,-,È necessario rallentare questo compito.,이 작업을 늦추다는 것이 필요합니다.
단어장,tasso di estinzione,소멸율,f,La tasso di estinzione italiana è molto famosa.,이탈리아의 tasso di estinzione(은)는 매우 유명합니다.
단어장,obiettivo,목표,m,Il obiettivo è fondamentale per il successo.,obiettivo(은)는 성공을 위해 필수적입니다.
단어장,catastrofico,재앙의,m,Il catastrofico è fondamentale per il successo.,catastrofico(은)는 성공을 위해 필수적입니다.
단어장,meteorologico,기상의,m,Il meteorologico è fondamentale per il successo.,meteorologico(은)는 성공을 위해 필수적입니다.
단어장,uragano,허리케인,m,Il uragano è fondamentale per il successo.,uragano(은)는 성공을 위해 필수적입니다.
단어장,alluvione,홍수,-,È necessario alluvione questo compito.,이 작업을 홍수는 것이 필요합니다.
단어장,combattere,퇴치하다,-,È necessario combattere questo compito.,이 작업을 퇴치하다는 것이 필요합니다.
단어장,arduo,힘든,m,Il arduo è fondamentale per il successo.,arduo(은)는 성공을 위해 필수적입니다.
단어장,stile di vita,생활방식,f,La stile di vita italiana è molto famosa.,이탈리아의 stile di vita(은)는 매우 유명합니다.
단어장,mezzi di trasporto,수송수단,m,Il mezzi di trasporto è fondamentale per il successo.,mezzi di trasporto(은)는 성공을 위해 필수적입니다.
단어장,ecologico,생태계의,m,Il ecologico è fondamentale per il successo.,ecologico(은)는 성공을 위해 필수적입니다.
단어장,temperatura media,평균기온,f,La temperatura media italiana è molto famosa.,이탈리아의 temperatura media(은)는 매우 유명합니다.
단어장,scenario,시나리오,m,Il scenario è fondamentale per il successo.,scenario(은)는 성공을 위해 필수적입니다.
단어장,verificarsi,확인되다,-,È necessario verificarsi questo compito.,이 작업을 확인되다는 것이 필요합니다.
단어장,irreversibile,불가역적,-,È necessario irreversibile questo compito.,이 작업을 불가역적는 것이 필요합니다.
단어장,trsformare,변형시키다,-,È necessario trsformare questo compito.,이 작업을 변형시키다는 것이 필요합니다.
단어장,desertificazione,사막화,f,La desertificazione italiana è molto famosa.,이탈리아의 desertificazione(은)는 매우 유명합니다.
단어장,estinzione,소멸,f,La estinzione italiana è molto famosa.,이탈리아의 estinzione(은)는 매우 유명합니다.
단어장,umanitario,인도주의적,m,Il umanitario è fondamentale per il successo.,umanitario(은)는 성공을 위해 필수적입니다.
단어장,migrazione,이주,f,La migrazione italiana è molto famosa.,이탈리아의 migrazione(은)는 매우 유명합니다.
단어장,forzato,강제적,m,Il forzato è fondamentale per il successo.,forzato(은)는 성공을 위해 필수적입니다.
단어장,tornare in dietro,뒤로,m,Il tornare in dietro è fondamentale per il successo.,tornare in dietro(은)는 성공을 위해 필수적입니다.
단어장,notare,알아채다,-,È necessario notare questo compito.,이 작업을 알아채다는 것이 필요합니다.
단어장,immondizia,쓰레기,f,La immondizia italiana è molto famosa.,이탈리아의 immondizia(은)는 매우 유명합니다.
단어장,spaziale,공간의,-,È necessario spaziale questo compito.,이 작업을 공간의는 것이 필요합니다.
단어장,orbita,궤도,f,La orbita italiana è molto famosa.,이탈리아의 orbita(은)는 매우 유명합니다.
단어장,sparire,사라지다,-,È necessario sparire questo compito.,이 작업을 사라지다는 것이 필요합니다.
단어장,apparire,나타나다,-,È necessario apparire questo compito.,이 작업을 나타나다는 것이 필요합니다.
단어장,milione,백만,-,È necessario milione questo compito.,이 작업을 백만는 것이 필요합니다.
단어장,estinto,소멸된,m,Il estinto è fondamentale per il successo.,estinto(은)는 성공을 위해 필수적입니다.
단어장,fitoflancton,피토플랑크톤,-,È necessario fitoflancton questo compito.,이 작업을 피토플랑크톤는 것이 필요합니다.
단어장,miliardo,십억,m,Il miliardo è fondamentale per il successo.,miliardo(은)는 성공을 위해 필수적입니다.
단어장,tonnellata,톤,f,La tonnellata italiana è molto famosa.,이탈리아의 tonnellata(은)는 매우 유명합니다.
단어장,sviluppo sostenibile,지속가능한,-,È necessario sviluppo sostenibile questo compito.,이 작업을 지속가능한는 것이 필요합니다.
단어장,acidificazione degli oceani,대양,-,È necessario acidificazione degli oceani questo compito.,이 작업을 대양는 것이 필요합니다.
단어장,allagamento,홍수,m,Il allagamento è fondamentale per il successo.,allagamento(은)는 성공을 위해 필수적입니다.
단어장,che,직설법,-,È necessario che questo compito.,이 작업을 직설법는 것이 필요합니다.
단어장,ottimo,최상의,m,Il ottimo è fondamentale per il successo.,ottimo(은)는 성공을 위해 필수적입니다.
단어장,apprezzare,칭찬하다,-,È necessario apprezzare questo compito.,이 작업을 칭찬하다는 것이 필요합니다.
단어장,unirsi,합치다,-,È necessario unirsi questo compito.,이 작업을 합치다는 것이 필요합니다.
단어장,deluso,실망한,m,Il deluso è fondamentale per il successo.,deluso(은)는 성공을 위해 필수적입니다.
단어장,ruolo,역할,m,Il ruolo è fondamentale per il successo.,ruolo(은)는 성공을 위해 필수적입니다.
단어장,affidare,맡기다,-,È necessario affidare questo compito.,이 작업을 맡기다는 것이 필요합니다.
단어장,fiducia,신뢰,f,La fiducia italiana è molto famosa.,이탈리아의 fiducia(은)는 매우 유명합니다.
단어장,realizzare,실현하다,-,È necessario realizzare questo compito.,이 작업을 실현하다는 것이 필요합니다.
단어장,partecipare,참가하다,-,È necessario partecipare questo compito.,이 작업을 참가하다는 것이 필요합니다.
단어장,riunione,회의,-,È necessario riunione questo compito.,이 작업을 회의는 것이 필요합니다.
단어장,dispiacere,등,-,È necessario dispiacere questo compito.,이 작업을 등는 것이 필요합니다.
단어장,tasso di disoccupazione,실업율,f,La tasso di disoccupazione italiana è molto famosa.,이탈리아의 tasso di disoccupazione(은)는 매우 유명합니다.
단어장,istruzione,훈련,f,La istruzione italiana è molto famosa.,이탈리아의 istruzione(은)는 매우 유명합니다.
단어장,formazione professionale,전문교육,-,È necessario formazione professionale questo compito.,이 작업을 전문교육는 것이 필요합니다.
단어장,scuola superiore,고등학교,m,Il scuola superiore è fondamentale per il successo.,scuola superiore(은)는 성공을 위해 필수적입니다.
단어장,istituti privati,사설학원,-,È necessario istituti privati questo compito.,이 작업을 사설학원는 것이 필요합니다.
단어장,l’esame d’ammissione,입학시험,f,La l’esame d’ammissione italiana è molto famosa.,이탈리아의 l’esame d’ammissione(은)는 매우 유명합니다.
단어장,gestire,운영하다,-,È necessario gestire questo compito.,이 작업을 운영하다는 것이 필요합니다.
단어장,collegare,연결하다,-,È necessario collegare questo compito.,이 작업을 연결하다는 것이 필요합니다.
단어장,carriera,경력,f,La carriera italiana è molto famosa.,이탈리아의 carriera(은)는 매우 유명합니다.
단어장,spettare,관련되다,-,È necessario spettare questo compito.,이 작업을 관련되다는 것이 필요합니다.
단어장,incoerenza,불일치,f,La incoerenza italiana è molto famosa.,이탈리아의 incoerenza(은)는 매우 유명합니다.
단어장,laurea,대학학위,f,La laurea italiana è molto famosa.,이탈리아의 laurea(은)는 매우 유명합니다.
단어장,disciplina,전공교과,f,La disciplina italiana è molto famosa.,이탈리아의 disciplina(은)는 매우 유명합니다.
단어장,pratica,실용,f,La pratica italiana è molto famosa.,이탈리아의 pratica(은)는 매우 유명합니다.
단어장,ripetere,반복하다,-,È necessario ripetere questo compito.,이 작업을 반복하다는 것이 필요합니다.
단어장,essere d’accordo,동의하다,m,Il essere d’accordo è fondamentale per il successo.,essere d’accordo(은)는 성공을 위해 필수적입니다.
단어장,sottile,얇은,-,È necessario sottile questo compito.,이 작업을 얇은는 것이 필요합니다.
단어장,ingredienti,식재료,-,È necessario ingredienti questo compito.,이 작업을 식재료는 것이 필요합니다.
단어장,mozzarella di bufala,물소모차렐라치즈,f,La mozzarella di bufala italiana è molto famosa.,이탈리아의 mozzarella di bufala(은)는 매우 유명합니다.
단어장,delizioso,맛있는,m,Il delizioso è fondamentale per il successo.,delizioso(은)는 성공을 위해 필수적입니다.
단어장,base,베이스,-,È necessario base questo compito.,이 작업을 베이스는 것이 필요합니다.
단어장,formato,형태,m,Il formato è fondamentale per il successo.,formato(은)는 성공을 위해 필수적입니다.
단어장,aveva sonno,과거,m,Il aveva sonno è fondamentale per il successo.,aveva sonno(은)는 성공을 위해 필수적입니다.
단어장,letto avrebbe letto,주절과,m,Il letto avrebbe letto è fondamentale per il successo.,letto avrebbe letto(은)는 성공을 위해 필수적입니다.
단어장,infinito,로,m,Il infinito è fondamentale per il successo.,infinito(은)는 성공을 위해 필수적입니다.
단어장,vedessi,반과거,-,È necessario vedessi questo compito.,이 작업을 반과거는 것이 필요합니다.
단어장,guardassi,근과거,-,È necessario guardassi questo compito.,이 작업을 근과거는 것이 필요합니다.
단어장,avessi visto,원과거,m,Il avessi visto è fondamentale per il successo.,avessi visto(은)는 성공을 위해 필수적입니다.
단어장,avessi capito,대과거,m,Il avessi capito è fondamentale per il successo.,avessi capito(은)는 성공을 위해 필수적입니다.
단어장,avessi letto,단순미래,m,Il avessi letto è fondamentale per il successo.,avessi letto(은)는 성공을 위해 필수적입니다.
단어장,avrei fatto,선립미래,m,Il avrei fatto è fondamentale per il successo.,avrei fatto(은)는 성공을 위해 필수적입니다.
단어장,cucina,음식,f,La cucina italiana è molto famosa.,이탈리아의 cucina(은)는 매우 유명합니다.
단어장,pasti,식사,-,È necessario pasti questo compito.,이 작업을 식사는 것이 필요합니다.
단어장,giornaliero,하루의,m,Il giornaliero è fondamentale per il successo.,giornaliero(은)는 성공을 위해 필수적입니다.
단어장,prevedere,예견하다,-,È necessario prevedere questo compito.,이 작업을 예견하다는 것이 필요합니다.
단어장,piatti,접시,-,È necessario piatti questo compito.,이 작업을 접시는 것이 필요합니다.
단어장,dividere,나누다,-,È necessario dividere questo compito.,이 작업을 나누다는 것이 필요합니다.
단어장,pietanze,음식,-,È necessario pietanze questo compito.,이 작업을 음식는 것이 필요합니다.
단어장,contorno,사이드,m,Il contorno è fondamentale per il successo.,contorno(은)는 성공을 위해 필수적입니다.
단어장,contenere,포함하다,-,È necessario contenere questo compito.,이 작업을 포함하다는 것이 필요합니다.
단어장,piccante,매운,-,È necessario piccante questo compito.,이 작업을 매운는 것이 필요합니다.
단어장,accompagnare,동반하다,-,È necessario accompagnare questo compito.,이 작업을 동반하다는 것이 필요합니다.
단어장,minestra,죽,f,La minestra italiana è molto famosa.,이탈리아의 minestra(은)는 매우 유명합니다.
단어장,cipolla,양파,f,La cipolla italiana è molto famosa.,이탈리아의 cipolla(은)는 매우 유명합니다.
단어장,cipollotto,파,m,Il cipollotto è fondamentale per il successo.,cipollotto(은)는 성공을 위해 필수적입니다.
단어장,noodles,면,-,È necessario noodles questo compito.,이 작업을 면는 것이 필요합니다.
단어장,trasparente,투명한,-,È necessario trasparente questo compito.,이 작업을 투명한는 것이 필요합니다.
단어장,verdure,야채,-,È necessario verdure questo compito.,이 작업을 야채는 것이 필요합니다.
단어장,manzo,쇠고기,m,Il manzo è fondamentale per il successo.,manzo(은)는 성공을 위해 필수적입니다.
단어장,semi di sesame,깨,-,È necessario semi di sesame questo compito.,이 작업을 깨는 것이 필요합니다.
단어장,potere legislativo,입법권,m,Il potere legislativo è fondamentale per il successo.,potere legislativo(은)는 성공을 위해 필수적입니다.
단어장,detenere,지니다,-,È necessario detenere questo compito.,이 작업을 지니다는 것이 필요합니다.
단어장,approvare,승인하다,-,È necessario approvare questo compito.,이 작업을 승인하다는 것이 필요합니다.
단어장,divisione,분리,f,La divisione italiana è molto famosa.,이탈리아의 divisione(은)는 매우 유명합니다.
단어장,maggioranza,다수,f,La maggioranza italiana è molto famosa.,이탈리아의 maggioranza(은)는 매우 유명합니다.
단어장,sfiduciare,불신임하다,-,È necessario sfiduciare questo compito.,이 작업을 불신임하다는 것이 필요합니다.
단어장,formare,구성하다,-,È necessario formare questo compito.,이 작업을 구성하다는 것이 필요합니다.
단어장,Presidente,대통령,-,È necessario Presidente questo compito.,이 작업을 대통령는 것이 필요합니다.
단어장,elezione,선거,f,La elezione italiana è molto famosa.,이탈리아의 elezione(은)는 매우 유명합니다.
단어장,plenario,완전한,m,Il plenario è fondamentale per il successo.,plenario(은)는 성공을 위해 필수적입니다.
단어장,riunito,모인,m,Il riunito è fondamentale per il successo.,riunito(은)는 성공을 위해 필수적입니다.
단어장,seduta plenaria,총회,f,La seduta plenaria italiana è molto famosa.,이탈리아의 seduta plenaria(은)는 매우 유명합니다.
단어장,in carica,임기,f,La in carica italiana è molto famosa.,이탈리아의 in carica(은)는 매우 유명합니다.
단어장,mandato,임기,m,Il mandato è fondamentale per il successo.,mandato(은)는 성공을 위해 필수적입니다.
단어장,essere,를,-,È necessario essere questo compito.,이 작업을 를는 것이 필요합니다.
단어장,andare,로,-,È necessario andare questo compito.,이 작업을 로는 것이 필요합니다.
단어장,venire,로,-,È necessario venire questo compito.,이 작업을 로는 것이 필요합니다.
단어장,universal suffrage,만,-,È necessario universal suffrage questo compito.,이 작업을 만는 것이 필요합니다.
단어장,discutere,논의하다,-,È necessario discutere questo compito.,이 작업을 논의하다는 것이 필요합니다.
단어장,sistema politico,정치체계,m,Il sistema politico è fondamentale per il successo.,sistema politico(은)는 성공을 위해 필수적입니다.
단어장,ridotto,적은,m,Il ridotto è fondamentale per il successo.,ridotto(은)는 성공을 위해 필수적입니다.
단어장,impeachment,탄핵,-,È necessario impeachment questo compito.,이 작업을 탄핵는 것이 필요합니다.
단어장,similitudine,유사점,-,È necessario similitudine questo compito.,이 작업을 유사점는 것이 필요합니다.
단어장,litigio,다툼,m,Il litigio è fondamentale per il successo.,litigio(은)는 성공을 위해 필수적입니다.
단어장,opinione,견해,-,È necessario opinione questo compito.,이 작업을 견해는 것이 필요합니다.
단어장,costituzione,헌법,f,La costituzione italiana è molto famosa.,이탈리아의 costituzione(은)는 매우 유명합니다.
단어장,lasciare,떠나다,-,È necessario lasciare questo compito.,이 작업을 떠나다는 것이 필요합니다.
단어장,secolo,세기,m,Il secolo è fondamentale per il successo.,secolo(은)는 성공을 위해 필수적입니다.
단어장,emigrare,이주해,-,È necessario emigrare questo compito.,이 작업을 이주해는 것이 필요합니다.
단어장,emigrazione,타국으로의,f,La emigrazione italiana è molto famosa.,이탈리아의 emigrazione(은)는 매우 유명합니다.
단어장,unificazione,통일,f,La unificazione italiana è molto famosa.,이탈리아의 unificazione(은)는 매우 유명합니다.
단어장,scegliere,선택하다,-,È necessario scegliere questo compito.,이 작업을 선택하다는 것이 필요합니다.
단어장,sfuggire,도망치다,-,È necessario sfuggire questo compito.,이 작업을 도망치다는 것이 필요합니다.
단어장,guerra,전쟁,f,La guerra italiana è molto famosa.,이탈리아의 guerra(은)는 매우 유명합니다.
단어장,influenzare,영향을,-,È necessario influenzare questo compito.,이 작업을 영향을는 것이 필요합니다.
단어장,invio,송부,m,Il invio è fondamentale per il successo.,invio(은)는 성공을 위해 필수적입니다.
단어장,contribuire,공헌하다,-,È necessario contribuire questo compito.,이 작업을 공헌하다는 것이 필요합니다.
단어장,miglioramento,나아짐,m,Il miglioramento è fondamentale per il successo.,miglioramento(은)는 성공을 위해 필수적입니다.
단어장,integrare,통합하다,-,È necessario integrare questo compito.,이 작업을 통합하다는 것이 필요합니다.
단어장,irono,불규칙,m,Il irono è fondamentale per il successo.,irono(은)는 성공을 위해 필수적입니다.
단어장,ricetta,요리법,f,La ricetta italiana è molto famosa.,이탈리아의 ricetta(은)는 매우 유명합니다.
단어장,duraturo,지속적인,m,Il duraturo è fondamentale per il successo.,duraturo(은)는 성공을 위해 필수적입니다.
단어장,rappresentare,나타내다,-,È necessario rappresentare questo compito.,이 작업을 나타내다는 것이 필요합니다.
단어장,testimonianza,증언,f,La testimonianza italiana è molto famosa.,이탈리아의 testimonianza(은)는 매우 유명합니다.
단어장,desiderio,욕망,m,Il desiderio è fondamentale per il successo.,desiderio(은)는 성공을 위해 필수적입니다.
단어장,universale,보편적인,-,È necessario universale questo compito.,이 작업을 보편적인는 것이 필요합니다.
단어장,confine,경계,-,È necessario confine questo compito.,이 작업을 경계는 것이 필요합니다.
단어장,estero,외국의,m,Il estero è fondamentale per il successo.,estero(은)는 성공을 위해 필수적입니다.
단어장,competenza,능력,f,La competenza italiana è molto famosa.,이탈리아의 competenza(은)는 매우 유명합니다.
단어장,sperimentare,실험하다,-,È necessario sperimentare questo compito.,이 작업을 실험하다는 것이 필요합니다.
단어장,amicizia,우정,f,La amicizia italiana è molto famosa.,이탈리아의 amicizia(은)는 매우 유명합니다.
단어장,ricordi,기억,-,È necessario ricordi questo compito.,이 작업을 기억는 것이 필요합니다.
단어장,attrazione,명소,f,La attrazione italiana è molto famosa.,이탈리아의 attrazione(은)는 매우 유명합니다.
단어장,immergersi,몰입하다,-,È necessario immergersi questo compito.,이 작업을 몰입하다는 것이 필요합니다.
단어장,fornire,제공하다,-,È necessario fornire questo compito.,이 작업을 제공하다는 것이 필요합니다.
단어장,indimenticabile,잊을,-,È necessario indimenticabile questo compito.,이 작업을 잊을는 것이 필요합니다.
단어장,irregolari,정상입국,-,È necessario irregolari questo compito.,이 작업을 정상입국는 것이 필요합니다.
